                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3993,                 2.4141,                 1.1829,                0.00137,                    0.5,                 0.4975,                0.20298,                 1.1341,                 4.5024,                 1.1442,             0.00037039,             0.00037039,             0.00037039
                     35,                  1.561,                 8.2917,                 1.1277,                0.00137,                    0.5,                 0.4975,                0.20298,                 1.1341,                 4.5024,                 1.1442,               0.000376,               0.000376,               0.000376
                     36,                 1.3753,                 2.4185,                 1.1607,                0.00137,                    0.5,                 0.4975,                0.20298,                 1.1341,                 4.5024,                 1.1442,             0.00038128,             0.00038128,             0.00038128
                     37,                 1.6625,                 2.4215,                 1.3176,                0.00137,                    0.5,                 0.4975,                0.20298,                 1.1341,                 4.5024,                 1.1442,             0.00038624,             0.00038624,             0.00038624
                     38,                 1.6018,                  2.803,                 1.1546,                0.00134,                    0.5,                 0.4975,                 0.2236,                 1.1551,                 4.4074,                 1.1481,             0.00039086,             0.00039086,             0.00039086
                     39,                 2.0068,                 4.2719,                 1.7545,                0.00134,                    0.5,                 0.4975,                 0.2236,                 1.1551,                 4.4074,                 1.1481,             0.00039515,             0.00039515,             0.00039515
                     40,                 1.6199,                 2.3676,                 1.4026,                0.00134,                    0.5,                 0.4975,                 0.2236,                 1.1551,                 4.4074,                 1.1481,             0.00039911,             0.00039911,             0.00039911
                     41,                 1.6876,                 3.9997,                0.91488,                0.00134,                    0.5,                 0.4975,                 0.2236,                 1.1551,                 4.4074,                 1.1481,             0.00040275,             0.00040275,             0.00040275
                     42,                  1.431,                  3.255,                 1.4239,                0.00133,                    0.5,                 0.4975,                  0.348,                 1.0468,                 4.3861,                 1.1038,             0.00040605,             0.00040605,             0.00040605
                     43,                 1.3254,                 2.5352,                 1.0907,                0.00133,                    0.5,                 0.4975,                  0.348,                 1.0468,                 4.3861,                 1.1038,             0.00040902,             0.00040902,             0.00040902
                     44,                  1.626,                 2.8447,                 1.2539,                0.00133,                    0.5,                 0.4975,                  0.348,                 1.0468,                 4.3861,                 1.1038,             0.00041166,             0.00041166,             0.00041166
                     45,                 1.6575,                 2.7309,                 1.2031,                0.00133,                    0.5,                 0.4975,                  0.348,                 1.0468,                 4.3861,                 1.1038,             0.00041398,             0.00041398,             0.00041398
                     46,                 1.4837,                  2.587,                 1.2957,                0.00132,                    0.5,                 0.4975,                0.37303,                 1.0059,                 4.5079,                 1.0969,             0.00041596,             0.00041596,             0.00041596
                     47,                 1.3787,                  3.011,                 1.0968,                0.00132,                    0.5,                 0.4975,                0.37303,                 1.0059,                 4.5079,                 1.0969,             0.00041761,             0.00041761,             0.00041761
                     48,                 1.5541,                  2.411,                 1.2329,                0.00132,                    0.5,                 0.4975,                0.37303,                 1.0059,                 4.5079,                 1.0969,             0.00041893,             0.00041893,             0.00041893
                     49,                 1.3521,                 2.3155,                 1.2075,                0.00132,                    0.5,                 0.4975,                0.37303,                 1.0059,                 4.5079,                 1.0969,             0.00041992,             0.00041992,             0.00041992
                     50,                 1.0826,                 1.9867,                 1.1383,                 0.0013,                    0.5,                 0.4975,                0.41039,                 1.0293,                 4.4851,                 1.0912,             0.00042059,             0.00042059,             0.00042059
                     51,                 1.1494,                 2.8259,                  1.131,                 0.0013,                    0.5,                 0.4975,                0.41039,                 1.0293,                 4.4851,                 1.0912,             0.00042092,             0.00042092,             0.00042092
                     52,                 1.2533,                 2.6568,                  1.052,                 0.0013,                    0.5,                 0.4975,                0.41039,                 1.0293,                 4.4851,                 1.0912,             0.00042092,             0.00042092,             0.00042092
                     53,                 1.1867,                 2.3784,                 1.0525,                 0.0013,                    0.5,                 0.4975,                0.41039,                 1.0293,                 4.4851,                 1.0912,             0.00042059,             0.00042059,             0.00042059
                     54,                 1.4666,                 2.4326,                 1.3969,                 0.0013,                    0.5,                 0.4975,                0.41039,                 1.0293,                 4.4851,                 1.0912,             0.00041993,             0.00041993,             0.00041993
                     55,                 1.4998,                  3.332,                 1.3395,                0.00125,                    0.5,                 0.4975,                  0.398,                 1.0877,                 4.4659,                 1.0861,             0.00041894,             0.00041894,             0.00041894
                     56,                 1.1494,                  2.166,                 1.0499,                0.00125,                    0.5,                 0.4975,                  0.398,                 1.0877,                 4.4659,                 1.0861,             0.00041763,             0.00041763,             0.00041763
                     57,                 1.2609,                 3.2032,                 1.1765,                0.00125,                    0.5,                 0.4975,                  0.398,                 1.0877,                 4.4659,                 1.0861,             0.00041598,             0.00041598,             0.00041598
                     58,                 1.0488,                 2.2986,                 1.1233,                0.00125,                    0.5,                 0.4975,                  0.398,                 1.0877,                 4.4659,                 1.0861,               0.000414,               0.000414,               0.000414
                     59,                 1.2377,                 2.3246,                  1.023,                0.00125,                    0.5,                 0.4975,                  0.398,                 1.0877,                 4.4659,                 1.0861,             0.00041169,             0.00041169,             0.00041169
                     60,                 1.5926,                 2.4512,                 1.1188,                0.00124,                    0.5,                 0.4975,                0.39778,                 1.1234,                 4.4028,                 1.1071,             0.00040905,             0.00040905,             0.00040905
                     61,                 1.4714,                  2.233,                 1.1794,                0.00124,                    0.5,                 0.4975,                0.39778,                 1.1234,                 4.4028,                 1.1071,             0.00040608,             0.00040608,             0.00040608
                     62,                 1.5419,                 3.0768,                 1.3689,                0.00124,                    0.5,                 0.4975,                0.39778,                 1.1234,                 4.4028,                 1.1071,             0.00040278,             0.00040278,             0.00040278
                     63,                 1.3526,                 2.9833,                 1.1846,                0.00124,                    0.5,                 0.4975,                0.39778,                 1.1234,                 4.4028,                 1.1071,             0.00039915,             0.00039915,             0.00039915
                     64,                 1.6213,                 2.6812,                  1.382,                0.00124,                    0.5,                 0.4975,                0.39778,                 1.1234,                 4.4028,                 1.1071,             0.00039519,             0.00039519,             0.00039519
                     65,                 1.4432,                 2.9041,                 1.2588,                0.88615,                    0.5,                 0.4975,                0.39778,                 1.1903,                 4.4313,                 1.1369,              0.0003909,              0.0003909,              0.0003909
                     66,                 1.1883,                 2.6965,                 1.1658,                0.88615,                    0.5,                 0.4975,                0.39778,                 1.1903,                 4.4313,                 1.1369,             0.00038629,             0.00038629,             0.00038629
                     67,                 1.2905,                 3.4353,                 1.0956,                0.88615,                    0.5,                 0.4975,                0.39778,                 1.1903,                 4.4313,                 1.1369,             0.00038134,             0.00038134,             0.00038134
                     68,                  1.276,                 1.6234,                 1.0823,                0.88615,                    0.5,                 0.4975,                0.39778,                 1.1903,                 4.4313,                 1.1369,             0.00037606,             0.00037606,             0.00037606
                     69,                 1.6629,                   2.94,                 1.4403,                0.88615,                    0.5,                 0.4975,                0.39778,                 1.1903,                 4.4313,                 1.1369,             0.00037045,             0.00037045,             0.00037045
                     70,                 1.2754,                 2.0895,                 1.1112,                0.88615,                    0.5,                 0.4975,                0.39778,                 1.1903,                 4.4313,                 1.1369,             0.00036451,             0.00036451,             0.00036451
                     71,                  1.464,                 2.5386,                 1.1268,                0.94643,                    0.5,                 0.4975,                0.37302,                 1.2127,                 4.3496,                 1.1371,             0.00035824,             0.00035824,             0.00035824
                     72,                 1.1222,                 2.3412,                 1.0822,                0.94643,                    0.5,                 0.4975,                0.37302,                 1.2127,                 4.3496,                 1.1371,             0.00035164,             0.00035164,             0.00035164
                     73,                 1.2936,                 2.4519,                0.99177,                0.94643,                    0.5,                 0.4975,                0.37302,                 1.2127,                 4.3496,                 1.1371,             0.00034471,             0.00034471,             0.00034471
                     74,                 1.3507,                 2.1235,                 1.2466,                0.94643,                    0.5,                 0.4975,                0.37302,                 1.2127,                 4.3496,                 1.1371,             0.00033745,             0.00033745,             0.00033745
